i,ngroups,rhat
0,9,93.68411746901788
1,19,90.82589747174288
2,30,89.34844531069035
3,9,93.96954013587185
4,30,89.8438122823276
5,20,91.54390969498476
6,24,90.75497663939476
7,9,93.96954013587185
8,23,91.01472772778112
9,19,92.18390546095786
10,24,91.29164740629035
11,9,93.96954013587185
12,18,91.56853519024126
13,20,91.98879181642317
14,18,91.48812934846632
15,9,93.96954013587185
16,18,92.04879953771712
17,15,92.53926620631097
18,19,92.07720744028991
19,9,93.96954013587185
20,15,92.48933795046264
21,15,92.73160753205343
22,21,92.01094395833074
23,9,93.96954013587185
24,15,92.6588291656768
25,14,92.86041506293681
26,16,92.52778693778427
27,9,93.96954013587185
28,17,92.49038426258713
29,13,93.02324966531452
30,16,92.55034991966988
31,9,93.96954013587185
32,13,93.12113134017915
33,15,92.80450061474914
34,16,92.73249770181852
35,9,93.96954013587185
36,19,92.29016140555846
37,15,92.85018207337939
38,16,92.3140318744358
39,9,93.96954013587185
40,15,93.13254834257044
41,13,93.05782030357494
42,13,93.26471178873194
43,9,93.96954013587185
44,23,91.8954259989744
45,15,92.94996193593629
46,14,92.7439100338233
47,9,93.96954013587185
48,13,93.18215502938223
49,13,93.06458035209255
50,13,93.17053484142497
51,9,93.96954013587185
52,13,92.96848911714999
53,18,92.77136138049127
54,17,92.3885053183061
55,9,93.96954013587185
56,17,93.03740144607991
57,17,92.87161954581089
58,17,92.8619089320737
59,9,93.96954013587185
60,16,92.72467945259237
61,17,92.71329112911887
62,17,92.12608640422306
63,9,93.96954013587185
64,16,92.92460044994277
65,16,93.00846444492086
66,16,93.00427736238957
67,9,93.96954013587185
68,16,93.0882153454109
69,16,93.00846444492086
70,16,92.20412075615553
71,9,93.96954013587185
72,17,92.90439561990384
73,16,93.00846444492086
74,16,93.01196896561224
75,9,93.96954013587185
76,16,92.94484484604924
77,16,93.00964517299494
78,16,92.26403071299274
79,9,93.96954013587185
80,16,92.97890621225123
81,16,93.17773329445411
82,16,93.20515892564492
83,9,93.96954013587185
84,14,93.32964775084285
85,15,93.25461018732156
86,17,92.47890199964625
87,9,93.96954013587185
88,16,93.07116699575329
89,17,92.93707077622456
90,16,93.16047017770819
91,9,93.96954013587185
92,16,93.06709646022463
93,16,93.00846444492086
94,18,92.14647202929584
95,9,93.96954013587185
96,15,93.25447400832678
97,16,93.00846444492086
98,9,93.95807199907601
99,9,93.96954013587185
100,13,93.59362735750054
101,16,93.00846444492086
102,16,92.32396614843863
103,9,93.96954013587185
104,13,93.59362735750054
105,16,93.00964517299494
106,9,93.95807199907601
107,9,93.96954013587185
108,13,93.64222534489893
109,16,93.17773329445411
110,16,92.64121031970755
111,9,93.96954013587185
112,13,93.64222534489893
113,15,93.25461018732156
114,9,93.96087912550817
115,9,93.96954013587185
116,13,93.59362735750054
117,17,92.96707354569071
118,15,92.55088650541512
119,9,93.96954013587185
120,13,93.59362735750054
121,16,93.00846444492086
122,9,93.95807199907601
123,9,93.96954013587185
124,13,93.59362735750054
125,16,93.00846444492086
126,16,92.40107844942236
127,9,93.96954013587185
128,13,93.59362735750054
129,16,93.00846444492086
130,9,93.95807199907601
131,9,93.96954013587185
132,13,93.59362735750054
133,16,93.01672597983756
134,16,92.53700212520693
135,9,93.96954013587185
136,13,93.64222534489893
137,16,93.17773329445411
138,9,93.96087912550817
139,9,93.96954013587185
140,13,93.64222534489893
141,15,93.27586540122195
142,16,92.88658023857931
143,9,93.96954013587185
144,13,93.59362735750054
145,17,92.99457903808614
146,9,93.95807199907601
147,9,93.96954013587185
148,13,93.59362735750054
149,16,93.02435580276668
150,16,92.54782939235015
151,9,93.96954013587185
152,13,93.59362735750054
153,16,93.02435580276668
154,9,93.95807199907601
155,9,93.96954013587185
156,13,93.59362735750054
157,16,93.02435580276668
158,16,92.55388583584875
159,9,93.96954013587185
160,13,93.59362735750054
161,16,93.04169010292911
162,9,93.95807199907601
163,9,93.96954013587185
164,13,93.64222534489893
165,16,93.2141189726888
166,15,92.85543235712039
167,9,93.96954013587185
168,13,93.70057835447821
169,14,93.42027219267007
170,9,93.96372605336043
171,9,93.96954013587185
172,13,93.64222534489893
173,17,93.15983312076003
174,15,92.82653364774943
175,9,93.96954013587185
176,13,93.64222534489893
177,16,93.17244180110883
178,9,93.96087912550817
179,9,93.96954013587185
180,13,93.64222534489893
181,16,93.17244180110883
182,16,92.72658723818749
183,9,93.96954013587185
184,13,93.64222534489893
185,16,93.17244180110883
186,9,93.96087912550817
187,9,93.96954013587185
188,13,93.64222534489893
189,16,93.19760980830537
190,15,92.8756843694604
191,9,93.96954013587185
192,13,93.70057835447821
193,15,93.37324892235317
194,9,93.96372605336043
195,9,93.96954013587185
