size,k,ngroups,rhat
40,1,2,39.0
40,2,2,41.96942385926742
40,3,2,39.0
40,4,2,47.590834030010726
40,5,2,49.630061235520124
40,6,2,41.96942385926742
40,7,2,39.0
40,8,2,54.12363516352054
40,9,2,39.0
40,10,2,56.333333333333336
40,11,2,39.0
40,12,2,47.590834030010726
40,13,2,39.0
40,14,2,41.96942385926742
40,15,2,49.630061235520124
40,16,2,54.12363516352054
40,17,2,39.0
40,18,2,41.96942385926742
40,19,2,39.0
40,20,2,63.6735168514911
40,21,2,39.0
40,22,2,41.96942385926742
40,23,2,39.0
40,24,2,54.12363516352054
40,25,2,49.630061235520124
40,26,2,41.96942385926742
40,27,2,39.0
40,28,2,47.590834030010726
40,29,2,39.0
40,30,2,56.333333333333336
40,31,2,39.0
40,32,2,54.12363516352054
40,33,2,39.0
40,34,2,41.96942385926742
40,35,2,49.630061235520124
40,36,2,47.590834030010726
40,37,2,39.0
40,38,2,41.96942385926742
40,39,2,39.0
40,40,1,77.99999999999999
40,41,2,39.0
40,42,2,41.96942385926742
40,43,2,39.02567479717081
40,44,2,47.590834030010726
40,45,2,49.630061235520124
40,46,2,41.96942385926742
40,47,2,39.16158712917402
40,48,2,54.12363516352054
40,49,2,39.319266299217496
40,50,2,56.333333333333336
40,51,2,39.41912160298065
40,52,2,47.590834030010726
40,53,2,39.533534484117055
40,54,2,41.96942385926742
40,55,2,49.630061235520124
40,56,2,54.12363516352054
40,57,2,39.80811813501407
40,58,2,41.96942385926742
40,59,2,39.969542929442284
40,60,2,63.6735168514911
40,61,2,40.14805280939153
40,62,2,41.96942385926742
40,63,2,40.34453359205775
40,64,2,54.12363516352054
40,65,2,49.630061235520124
40,66,2,41.96942385926742
40,67,2,40.795614534570895
40,68,2,47.590834030010726
40,69,2,40.795614534570895
40,70,2,56.333333333333336
40,71,2,41.05271049900574
40,72,2,54.12363516352054
40,73,2,41.332820250105925
40,74,2,41.96942385926742
40,75,2,49.630061235520124
40,76,2,47.590834030010726
40,77,2,41.637710109982756
40,78,2,41.96942385926742
40,79,2,41.637710109982756
40,80,1,77.99999999999999
40,81,2,41.96942385926742
40,82,2,41.96942385926742
40,83,2,41.96942385926742
40,84,2,47.590834030010726
40,85,2,49.630061235520124
40,86,2,42.33033742439247
40,87,2,42.33033742439247
40,88,2,54.12363516352054
40,89,2,42.72322836275103
40,90,2,56.333333333333336
40,91,2,42.72322836275103
40,92,2,47.590834030010726
40,93,2,42.72322836275103
40,94,2,42.72322836275103
40,95,2,49.630061235520124
40,96,2,54.12363516352054
40,97,2,43.15136519664326
40,98,2,43.15136519664326
40,99,2,43.15136519664326
40,100,2,63.6735168514911
40,101,2,43.6186238018276
40,102,2,43.6186238018276
40,103,2,43.6186238018276
40,104,2,54.12363516352054
40,105,2,49.630061235520124
40,106,2,43.6186238018276
40,107,2,44.12964133675098
40,108,2,47.590834030010726
40,109,2,44.12964133675098
40,110,2,56.333333333333336
40,111,2,44.12964133675098
40,112,2,54.12363516352054
40,113,2,44.12964133675098
40,114,2,44.12964133675098
40,115,2,49.630061235520124
40,116,2,47.590834030010726
40,117,2,44.69002331626231
40,118,2,44.69002331626231
40,119,2,44.69002331626231
40,120,1,77.99999999999999
40,121,2,44.69002331626231
40,122,2,44.69002331626231
40,123,2,44.69002331626231
40,124,2,47.590834030010726
40,125,2,49.630061235520124
40,126,2,45.30662764293932
40,127,2,45.30662764293932
40,128,2,54.12363516352054
40,129,2,45.30662764293932
40,130,2,56.333333333333336
40,131,2,45.30662764293932
40,132,2,47.590834030010726
40,133,2,45.30662764293932
40,134,2,45.98796300041936
40,135,2,49.630061235520124
40,136,2,54.12363516352054
40,137,2,45.98796300041936
40,138,2,45.98796300041936
40,139,2,45.98796300041936
40,140,2,63.6735168514911
40,141,2,45.98796300041936
40,142,2,45.98796300041936
40,143,2,45.98796300041936
40,144,2,54.12363516352054
40,145,2,49.630061235520124
40,146,2,46.74476234660423
40,147,2,46.74476234660423
40,148,2,47.590834030010726
40,149,2,46.74476234660423
40,150,2,56.333333333333336
40,151,2,46.74476234660423
40,152,2,54.12363516352054
40,153,2,46.74476234660423
40,154,2,46.74476234660423
40,155,2,49.630061235520124
40,156,2,47.590834030010726
40,157,2,46.74476234660423
40,158,2,46.74476234660423
40,159,2,46.74476234660423
40,160,1,77.99999999999999
40,161,2,47.590834030010726
40,162,2,47.590834030010726
40,163,2,47.590834030010726
40,164,2,47.590834030010726
40,165,2,49.630061235520124
40,166,2,47.590834030010726
40,167,2,47.590834030010726
40,168,2,54.12363516352054
40,169,2,47.590834030010726
40,170,2,56.333333333333336
40,171,2,47.590834030010726
40,172,2,47.590834030010726
