size,k,ngroups,rhat
30,1,2,29.000000000000007
30,2,2,31.252701577274483
30,3,2,33.64
30,4,2,31.252701577274483
30,5,2,37.14761068986163
30,6,2,38.49239922533147
30,7,2,29.000000000000007
30,8,2,31.252701577274483
30,9,2,33.64
30,10,2,42.49298378485245
30,11,2,29.000000000000007
30,12,2,38.49239922533147
30,13,2,29.000000000000007
30,14,2,31.252701577274483
30,15,2,46.0193603059625
30,16,2,31.252701577274483
30,17,2,29.000000000000007
30,18,2,38.49239922533147
30,19,2,29.000000000000007
30,20,2,42.49298378485245
30,21,2,33.64
30,22,2,31.252701577274483
30,23,2,29.000000000000007
30,24,2,38.49239922533147
30,25,2,37.14761068986163
30,26,2,31.252701577274483
30,27,2,33.64
30,28,2,31.252701577274483
30,29,2,29.000000000000007
30,30,1,57.99999999999999
30,31,2,29.000000000000007
30,32,2,31.252701577274483
30,33,2,33.64
30,34,2,31.252701577274483
30,35,2,37.14761068986163
30,36,2,38.49239922533147
30,37,2,29.218781310548206
30,38,2,31.252701577274483
30,39,2,33.64
30,40,2,42.49298378485245
30,41,2,29.573772108218527
30,42,2,38.49239922533147
30,43,2,29.73407404899376
30,44,2,31.252701577274483
30,45,2,46.0193603059625
30,46,2,31.252701577274483
30,47,2,29.917478712223044
30,48,2,38.49239922533147
30,49,2,30.125652414415246
30,50,2,42.49298378485245
30,51,2,33.64
30,52,2,31.252701577274483
30,53,2,30.62471349770364
30,54,2,38.49239922533147
30,55,2,37.14761068986163
30,56,2,31.252701577274483
30,57,2,33.64
30,58,2,31.252701577274483
30,59,2,30.92090799127659
30,60,1,57.99999999999999
30,61,2,31.252701577274483
30,62,2,31.252701577274483
30,63,2,33.64
30,64,2,31.252701577274483
30,65,2,37.14761068986163
30,66,2,38.49239922533147
30,67,2,31.624403914396552
30,68,2,31.624403914396552
30,69,2,33.64
30,70,2,42.49298378485245
30,71,2,32.04134194214693
30,72,2,38.49239922533147
30,73,2,32.04134194214693
30,74,2,32.04134194214693
30,75,2,46.0193603059625
30,76,2,32.51018397828836
30,77,2,32.51018397828836
30,78,2,38.49239922533147
30,79,2,32.51018397828836
30,80,2,42.49298378485245
30,81,2,33.64
30,82,2,33.03940811925879
30,83,2,33.03940811925879
30,84,2,38.49239922533147
30,85,2,37.14761068986163
30,86,2,33.03940811925879
30,87,2,33.64
30,88,2,33.03940811925879
30,89,2,33.03940811925879
30,90,1,57.99999999999999
30,91,2,33.64
30,92,2,33.64
30,93,2,33.64
30,94,2,33.64
30,95,2,37.14761068986163
30,96,2,38.49239922533147
30,97,2,33.64
30,98,2,33.64
30,99,2,33.64
30,100,2,42.49298378485245
30,101,2,34.326530612244895
30,102,2,38.49239922533147
30,103,2,34.326530612244895
30,104,2,34.326530612244895
30,105,2,46.0193603059625
30,106,2,34.326530612244895
30,107,2,34.326530612244895
30,108,2,38.49239922533147
30,109,2,34.326530612244895
30,110,2,42.49298378485245
30,111,2,34.326530612244895
30,112,2,34.326530612244895
30,113,2,35.118896318643436
30,114,2,38.49239922533147
30,115,2,37.14761068986163
30,116,2,35.118896318643436
30,117,2,35.118896318643436
30,118,2,35.118896318643436
30,119,2,35.118896318643436
30,120,1,57.99999999999999
30,121,2,35.118896318643436
30,122,2,35.118896318643436
30,123,2,35.118896318643436
30,124,2,35.118896318643436
30,125,2,37.14761068986163
30,126,2,38.49239922533147
30,127,2,35.118896318643436
30,128,2,35.118896318643436
30,129,2,36.04528628671669
30,130,2,42.49298378485245
30,131,2,36.04528628671669
30,132,2,38.49239922533147
30,133,2,36.04528628671669
30,134,2,36.04528628671669
30,135,2,46.0193603059625
30,136,2,36.04528628671669
30,137,2,36.04528628671669
30,138,2,38.49239922533147
30,139,2,36.04528628671669
30,140,2,42.49298378485245
30,141,2,36.04528628671669
30,142,2,36.04528628671669
30,143,2,36.04528628671669
30,144,2,38.49239922533147
30,145,2,37.14761068986163
30,146,2,36.04528628671669
30,147,2,36.04528628671669
30,148,2,36.04528628671669
30,149,2,36.04528628671669
30,150,1,57.99999999999999
30,151,2,37.14761068986163
30,152,2,37.14761068986163
30,153,2,37.14761068986163
30,154,2,37.14761068986163
30,155,2,37.14761068986163
30,156,2,38.49239922533147
30,157,2,37.14761068986163
30,158,2,37.14761068986163
30,159,2,37.14761068986163
30,160,2,42.49298378485245
30,161,2,37.14761068986163
30,162,2,38.49239922533147
30,163,2,37.14761068986163
30,164,2,37.14761068986163
30,165,2,46.0193603059625
30,166,2,37.14761068986163
30,167,2,37.14761068986163
30,168,2,38.49239922533147
30,169,2,37.14761068986163
30,170,2,42.49298378485245
30,171,2,37.14761068986163
30,172,2,37.14761068986163
30,173,2,37.14761068986163
30,174,2,38.49239922533147
30,175,2,37.14761068986163
30,176,2,37.14761068986163
30,177,2,37.14761068986163
30,178,2,37.14761068986163
30,179,2,37.14761068986163
30,180,1,57.99999999999999
30,181,2,38.49239922533147
30,182,2,38.49239922533147
30,183,2,38.49239922533147
30,184,2,38.49239922533147
30,185,2,38.49239922533147
30,186,2,38.49239922533147
30,187,2,38.49239922533147
30,188,2,38.49239922533147
30,189,2,38.49239922533147
30,190,2,42.49298378485245
30,191,2,38.49239922533147
30,192,2,38.49239922533147
30,193,2,38.49239922533147
30,194,2,38.49239922533147
30,195,2,46.0193603059625
30,196,2,38.49239922533147
30,197,2,38.49239922533147
30,198,2,38.49239922533147
30,199,2,38.49239922533147
30,200,2,42.49298378485245
30,201,2,38.49239922533147
30,202,2,38.49239922533147
30,203,2,38.49239922533147
30,204,2,38.49239922533147
30,205,2,38.49239922533147
30,206,2,38.49239922533147
30,207,2,38.49239922533147
30,208,2,38.49239922533147
30,209,2,38.49239922533147
30,210,1,57.99999999999999
30,211,2,38.49239922533147
30,212,2,38.49239922533147
30,213,2,38.49239922533147
30,214,2,38.49239922533147
30,215,2,38.49239922533147
30,216,2,38.49239922533147
30,217,2,38.49239922533147
30,218,2,38.49239922533147
30,219,2,38.49239922533147
30,220,2,42.49298378485245
30,221,2,38.49239922533147
30,222,2,38.49239922533147
30,223,2,38.49239922533147
30,224,2,38.49239922533147
30,225,2,46.0193603059625
30,226,2,40.195737873794755
30,227,2,40.195737873794755
30,228,2,40.195737873794755
30,229,2,40.195737873794755
30,230,2,42.49298378485245
30,231,2,40.195737873794755
30,232,2,40.195737873794755
30,233,2,40.195737873794755
30,234,2,40.195737873794755
30,235,2,40.195737873794755
30,236,2,40.195737873794755
30,237,2,40.195737873794755
30,238,2,40.195737873794755
30,239,2,40.195737873794755
30,240,1,57.99999999999999
30,241,2,40.195737873794755
30,242,2,40.195737873794755
30,243,2,40.195737873794755
30,244,2,40.195737873794755
30,245,2,40.195737873794755
30,246,2,40.195737873794755
30,247,2,40.195737873794755
30,248,2,40.195737873794755
30,249,2,40.195737873794755
30,250,2,42.49298378485245
30,251,2,40.195737873794755
30,252,2,40.195737873794755
30,253,2,40.195737873794755
30,254,2,40.195737873794755
30,255,2,46.0193603059625
30,256,2,40.195737873794755
30,257,2,40.195737873794755
30,258,2,40.195737873794755
30,259,2,40.195737873794755
30,260,2,42.49298378485245
30,261,2,40.195737873794755
30,262,2,40.195737873794755
30,263,2,40.195737873794755
30,264,2,40.195737873794755
30,265,2,40.195737873794755
30,266,2,40.195737873794755
30,267,2,40.195737873794755
30,268,2,40.195737873794755
30,269,2,40.195737873794755
30,270,1,57.99999999999999
30,271,2,40.195737873794755
30,272,2,40.195737873794755
30,273,2,40.195737873794755
30,274,2,40.195737873794755
30,275,2,40.195737873794755
30,276,2,40.195737873794755
30,277,2,40.195737873794755
30,278,2,40.195737873794755
30,279,2,40.195737873794755
30,280,2,42.49298378485245
30,281,2,40.195737873794755
30,282,2,40.195737873794755
30,283,2,40.195737873794755
30,284,2,40.195737873794755
30,285,2,46.0193603059625
30,286,2,40.195737873794755
30,287,2,40.195737873794755
30,288,2,40.195737873794755
30,289,2,40.195737873794755
30,290,2,42.49298378485245
30,291,2,40.195737873794755
30,292,2,40.195737873794755
30,293,2,40.195737873794755
30,294,2,40.195737873794755
30,295,2,40.195737873794755
30,296,2,40.195737873794755
30,297,2,40.195737873794755
30,298,2,40.195737873794755
30,299,2,40.195737873794755
30,300,1,57.99999999999999
30,301,2,42.49298378485245
30,302,2,42.49298378485245
30,303,2,42.49298378485245
30,304,2,42.49298378485245
30,305,2,42.49298378485245
30,306,2,42.49298378485245
30,307,2,42.49298378485245
30,308,2,42.49298378485245
30,309,2,42.49298378485245
